,conjugation_type,business_sentence,common_sentence
0,と申します,H社の高市「と申します」。,H社の高市「です」。
1,います,いつもお世話になって「おります」。,いつもお世話になって「います」。
2,います,こちらこそ、お世話になって「おります」。,こちらこそ、お世話になって「います」。
3,います,稲田さんは「いらっしゃいます」か？,稲田さんは「います」か？
4,もらう,1時間ほど前に、お電話「いただいた」そうなんですけど。,1時間ほど前に、お電話「もらった」そうなんですけど。
5,てください,少々「お待ちください」。,少々「待ってください」。
6,どう,明日の午前中、10時半頃からだと「いかが」ですか？,明日の午前中、10時半頃からだと「どう」ですか？
7,もらう,すべて、能勢さんにも同席して「いただき」ますので、改善した方が良い点などはご指摘ください。,すべて、能勢さんにも同席して「もらい」ますので、改善した方が良い点などはご指摘ください。
8,てください,すべて、能勢さんにも同席していただきますので、改善した方が良い点などは「ご指摘ください」。,すべて、能勢さんにも同席していただきますので、改善した方が良い点などは「指摘してください」。
9,もらう,前日のリハーサルには、役員以外に、本日ご出席いただいている顧問弁護士の太田先生にもお越し「いただき」たく存じます。,前日のリハーサルには、役員以外に、本日ご出席いただいている顧問弁護士の太田先生にもお越し「もらい」たく存じます。
10,います,また、総会当日のみ、担当監査法人の会計士の先生にも裏方に待機していただき、何かあった時のサポートをお願いして「おります」。,また、総会当日のみ、担当監査法人の会計士の先生にも裏方に待機していただき、何かあった時のサポートをお願いして「います」。
11,もらう,また、総会当日のみ、担当監査法人の会計士の先生にも裏方に待機して「いただき」、何かあった時のサポートをお願いしております。,また、総会当日のみ、担当監査法人の会計士の先生にも裏方に待機して「もらい」、何かあった時のサポートをお願いしております。
12,てください,必ずしも想定問答集通りに質問する訳ではありませんので、「ご了承ください」。,必ずしも想定問答集通りに質問する訳ではありませんので、「了承してください」。
13,もらう,はい、それではこれより私が進めさせて「いただき」ます。,はい、それではこれより私が進めさせて「もらい」ます。
14,もらう,まず始めに、M信託銀行の能勢さんより、今期の各社の総会における傾向等についてお話「いただき」ます。,まず始めに、M信託銀行の能勢さんより、今期の各社の総会における傾向等についてお話「もらい」ます。
15,します,能勢さん、よろしくお願い「致します」。,能勢さん、よろしくお願い「します」。
16,もらう,今年も御社の総会のお手伝いをさせて「いただき」ます、M信託銀行の能勢です。,今年も御社の総会のお手伝いをさせて「もらい」ます、M信託銀行の能勢です。
17,します,どうぞ、よろしくお願い「致します」。,どうぞ、よろしくお願い「します」。
18,います,株主数については安定して「おります」。,株主数については安定して「います」。
19,てください,それでは、事前にメールに添付した資料を「ご覧ください」。,それでは、事前にメールに添付した資料を「見てください」。
20,と申します,I社、広報IR室の高田「と申します」。,I社、広報IR室の高田「です」。
21,います,今回の株主総会開催について事務方を担当して「おります」。,今回の株主総会開催について事務方を担当して「います」。
22,もらう,わざわざ「お越しいただいて」、すみませんね。,わざわざ「来てもらって」、すみませんね。
23,てください,どうぞ、「お目通しください」。,どうぞ、「見てください」。
24,います,総会開始１０分前までは、私も受付で待機して「おります」のでお声掛けください。,総会開始１０分前までは、私も受付で待機して「います」のでお声掛けください。
25,てください,総会開始１０分前までは、私も受付で待機しておりますので「お声掛けください」。,総会開始１０分前までは、私も受付で待機しておりますので「声をかけてください」。
26,します,それでは、当日、どうぞよろしくお願い「致します」。,それでは、当日、どうぞよろしくお願い「します」。
27,と申します,いつもお世話になっております、I社の高田「と申します」。,いつもお世話になっております、I社の高田「です」。
28,います,いつもお世話になって「おります」、I社の高田と申します。,いつもお世話になって「います」、I社の高田と申します。
29,てください,少々「お待ちください」。,少々「待ってください」。
30,います,先生、いつもお世話になって「おります」、高田です。,先生、いつもお世話になって「います」、高田です。
31,どう,近々、先生の事務所に伺いたいのですが、ご都合「いかが」でしょうか？,近々、先生の事務所に伺いたいのですが、ご都合「どう」でしょうか？
32,どう,明後日の午後は「いかが」ですか？,明後日の午後は「どう」ですか？
33,います,お世話になって「おります」、M信託銀行の能勢ですが。,お世話になって「います」、M信託銀行の能勢ですが。
34,います,広報IR室の高田さんは「いらっしゃいます」か？,広報IR室の高田さんは「います」か？
35,います,申し訳ございません、ただいま外出して「おります」が。,申し訳ございません、ただいま外出して「います」が。
36,います,午後２時に帰社予定となって「おります」。,午後２時に帰社予定となって「います」。
37,どう,「いかが」致しましょうか？,「どう」致しましょうか？
38,もらう,それじゃあ、お伝え「いただき」たいのですが。,それじゃあ、お伝え「もらい」たいのですが。
39,います,明日、午後からは社内に「おります」、とお伝え下さい。,明日、午後からは社内に「います」、とお伝え下さい。
40,します,はい、失礼「致します」。,はい、失礼「します」。
41,います,藤本様、当社の追跡サービスによりますと、3日前に到着したと示して「おります」。,藤本様、当社の追跡サービスによりますと、3日前に到着したと示して「います」。
42,います,到着は1週間後となって「おります」。,到着は1週間後となって「います」。
43,します,当初の購入代金と配送料を、お支払い頂いたお客様のクレジットカードへ払い戻し「いたします」。,当初の購入代金と配送料を、お支払い頂いたお客様のクレジットカードへ払い戻し「します」。
44,います,そこで、すばらしいがんばりをしてくれた皆さんに感謝の印として、何かしたいと考えて「おります」。,そこで、すばらしいがんばりをしてくれた皆さんに感謝の印として、何かしたいと考えて「います」。
45,どう,我々経営陣は、皆さんに特別手当の支給または、社内旅行を考えていますが、「いかが」でしょうか。,我々経営陣は、皆さんに特別手当の支給または、社内旅行を考えていますが、「どう」でしょうか。
46,います,改めて、皆さんの優れた働きに感謝して「おります」。,改めて、皆さんの優れた働きに感謝して「います」。
47,と申します,もしもし、私、A社の松尾「と申します」。,もしもし、私、A社の松尾「です」。
48,います,お世話になって「おります」。,お世話になって「います」。
49,もらう,申し訳ないのですが、支払いを1週間ほど延ばして「いただけます」か？,申し訳ないのですが、支払いを1週間ほど延ばして「もらえます」か？
50,います,お支払いは銀行振り込みとなって「おります」。,お支払いは銀行振り込みとなって「います」。
51,います,当社の口座番号は、先日発行して「おります」請求書の一番下に書いてあります。,当社の口座番号は、先日発行して「います」請求書の一番下に書いてあります。
52,います,以上が、先日のミーティングについての概要となって「おります」。,以上が、先日のミーティングについての概要となって「います」。
53,と申します,先日電卓を注文したB社の増田「と申します」。,先日電卓を注文したB社の増田「です」。
54,します,はい、C社カスタマーサービス水野がお受け「いたします」。,はい、C社カスタマーサービス水野がお受け「します」。
55,します,すぐに確認「いたします」ね。,すぐに確認「します」ね。
56,します,はい、すぐに準備「いたします」。,はい、すぐに準備「します」。
57,します,何卒よろしくお願い「致します」。,何卒よろしくお願い「します」。
58,します,では、失礼「致します」。,では、失礼「します」。
59,もらう,先日提出して「いただいた」北欧のビジネス街についての記事を、後1500文字ほど増やしていただくことは可能でしょうか。,先日提出して「もらった」北欧のビジネス街についての記事を、後1500文字ほど増やしていただくことは可能でしょうか。
60,います,あ、それから、今後そちらで掲載していただきたい記事のトピックについても、いくつか絞って「おります」ので、また後ほどデータを送らせてもらいますね。,あ、それから、今後そちらで掲載していただきたい記事のトピックについても、いくつか絞って「います」ので、また後ほどデータを送らせてもらいますね。
61,もらう,あ、それから、今後そちらで掲載して「いただき」たい記事のトピックについても、いくつか絞っておりますので、また後ほどデータを送らせてもらいますね。,あ、それから、今後そちらで掲載して「もらい」たい記事のトピックについても、いくつか絞っておりますので、また後ほどデータを送らせてもらいますね。
62,します,では、期限について本日中にご連絡「いたします」。,では、期限について本日中にご連絡「します」。
63,います,どなたか他に提案のある方は「いらっしゃいます」か。,どなたか他に提案のある方は「います」か。
64,と申します,もしもし、制作部の木野「と申します」。,もしもし、制作部の木野「です」。
65,います,河本さんは「いらっしゃいます」か。,河本さんは「います」か。
66,てください,少々「お待ちください」ませ。,少々「待ってください」ませ。
67,します,河本へおつなぎ「致します」。,河本へおつなぎ「します」。
68,と申します,B社の改装プロジェクト責任者、木野「と申します」。,B社の改装プロジェクト責任者、木野「です」。
69,します,お電話でのご挨拶失礼「いたします」。,お電話でのご挨拶失礼「します」。
70,します,本日、至急もう１枚ご用意「致します」。,本日、至急もう１枚ご用意「します」。
71,います,では、午後3時ごろ、弊社にてお待ちして「おります」。,では、午後3時ごろ、弊社にてお待ちして「います」。
72,します,はい、何卒よろしくお願い「致します」。,はい、何卒よろしくお願い「します」。
73,います,すみませんが、白木はただ今、席をはずして「おります」。,すみませんが、白木はただ今、席をはずして「います」。
74,します,お伝え「いたします」。,お伝え「します」。
75,もらう,皆様、本日はお集まり「いただき」ありがとうございます。,皆様、本日はお集まり「もらい」ありがとうございます。
76,と申します,本日司会を務めさせて頂きます、岡田「と申します」。,本日司会を務めさせて頂きます、岡田「です」。
77,します,よろしくお願い「致します」。,よろしくお願い「します」。
78,います,つきましては、アジア地域専門の徳井様をお招きして「おります」。,つきましては、アジア地域専門の徳井様をお招きして「います」。
79,もらう,本日はお招き「いただき」、ありがとうございます。,本日はお招き「もらい」、ありがとうございます。
80,てください,はい、では、皆さまお手元の資料を「ご覧ください」。,はい、では、皆さまお手元の資料を「見てください」。
81,います,資料を見直しました結果、アジア地域の商品需要率は昨年より3.5%低下して「おります」。,資料を見直しました結果、アジア地域の商品需要率は昨年より3.5%低下して「います」。
82,もらう,ここで、一旦休憩に入らせて「いただき」ます。,ここで、一旦休憩に入らせて「もらい」ます。
